Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
61791,29.1732,87.4775,30,86,38,86,false,43497
60677,26.3544,86.7838,26,86,37,85,false,43497
62072,23.9489,84.1301,25,85,36,83,false,43497
61496,26.5756,86.6056,27,86,33,87,false,43497
63446,26.7668,87.0440,30,88,36,87,false,43497
62470,26.0821,86.8579,30,86,35,82,false,43497
62214,24.9630,87.5045,23,85,38,84,false,43497
62380,25.7137,86.2983,25,86,33,86,false,43497
62840,24.5916,86.9469,24,83,30,85,false,43497
58941,24.6657,85.3073,26,85,31,82,false,43497
58477,28.3033,86.9059,28,86,35,81,false,43497
59608,26.6937,87.0761,22,84,37,84,false,43497
60339,24.8679,87.7708,27,89,29,83,false,43497
57481,28.2873,87.3263,30,87,38,89,false,43497
61956,27.4384,86.8529,26,86,41,84,false,43497
60170,28.0140,85.8759,28,85,42,87,false,43497
58532,26.8819,86.2553,37,87,40,84,false,43497
66328,26.9229,85.0430,26,87,38,84,false,43497
63072,27.5335,86.3914,23,83,36,82,false,43497
60750,27.0811,86.9019,36,88,38,87,false,43497
58052,25.9139,85.4434,28,85,47,84,false,43497
64880,26.9199,87.7718,27,85,30,84,false,43497
58244,26.9209,86.3013,32,89,42,89,false,43497
58651,30.4354,87.3123,28,88,57,90,false,43497
62427,23.4184,86.0671,32,85,38,84,false,43497
66185,22.3253,86.8088,24,86,29,84,false,43497
59233,27.5526,86.9229,27,88,41,88,false,43497
63505,25.5516,88.4545,29,87,29,85,false,43497
61847,25.8849,86.3043,34,89,37,87,false,43497
60405,24.7297,84.0521,28,85,38,87,false,43497
57103,28.5966,85.0811,30,86,46,90,false,43497
57106,30.1171,86.7107,31,88,43,86,false,43497
62247,24.5556,84.3964,28,87,41,84,false,43497
60207,27.0531,85.3233,26,83,27,80,false,43497
62909,25.8559,86.3784,23,84,36,83,false,43497
65488,22.3033,84.8348,22,84,32,81,false,43497
59441,26.1742,86.1291,35,85,36,82,false,43497
55341,27.9289,86.0961,27,83,41,86,false,43497
64145,23.3233,85.8879,25,87,34,87,false,43497
63522,25.1361,85.0511,33,83,35,84,false,43497
58014,28.3013,86.3193,34,88,44,87,false,43497
55467,29.7878,86.9690,32,87,44,86,false,43497
61920,23.1441,86.8218,21,85,35,86,false,43497
59949,25.8589,85.9259,23,83,31,81,false,43497
62627,26.6166,87.7387,28,85,32,84,false,43497
61207,25.7237,84.5375,26,83,30,79,false,43497
59003,28.1892,86.5946,27,85,37,83,false,43497
58284,30.0781,86.0380,37,87,41,86,false,43497
58101,29.0170,86.5055,32,88,49,89,false,43497
63745,27.2663,87.5195,25,83,33,83,false,43497
60069,25.1091,85.8458,35,89,36,87,false,43497
57864,29.0490,85.3253,36,87,40,84,false,43497
55199,28.6847,87.1071,33,88,41,83,false,43497
63783,28.2152,86.2873,31,86,40,84,false,43497
61863,24.9089,85.5796,22,81,34,82,false,43497
58685,25.0220,85.6767,30,87,34,85,false,43497
62480,25.1031,85.9920,26,85,33,84,false,43497
61394,25.4975,87.7948,30,89,33,88,false,43497
60218,26.3904,86.5956,25,85,39,86,false,43497
63237,23.2132,83.0130,24,83,32,81,false,43497
59382,26.2482,85.4515,36,86,34,83,false,43497
61178,24.8478,82.8549,24,82,34,81,false,43497
58791,26.5756,85.6206,34,91,41,89,false,43497
64988,27.2733,86.6326,28,88,41,85,false,43497
57824,27.0000,87.6877,30,85,33,84,false,43497
60225,24.9980,86.9820,26,84,29,85,false,43497
58334,26.1011,84.9700,27,83,43,86,false,43497
59981,25.9790,87.8298,32,85,31,85,false,43497
61740,29.4665,86.5355,31,89,36,84,false,43497
59425,27.1682,86.1712,32,86,41,87,false,43497
58410,23.7407,85.7858,25,85,34,85,false,43497
59660,26.8859,86.4835,25,86,41,87,false,43497
60638,23.2352,87.4204,29,89,33,85,false,43497
60471,26.1461,87.3333,29,88,36,86,false,43497
69142,24.3063,87.1982,32,88,37,84,false,43497
60619,27.9029,87.5706,26,85,33,85,false,43497
61010,23.4204,86.0230,21,84,32,81,false,43497
58851,25.3143,87.0591,29,88,37,87,false,43497
59807,26.8418,87.7638,27,92,44,90,false,43497
60452,24.5986,86.9790,20,83,37,82,false,43497
65420,27.4434,87.8619,26,85,40,84,false,43497
60901,26.7738,87.1461,23,85,40,88,false,43497
60463,25.7047,87.3854,27,85,33,86,false,43497
60999,25.8899,84.8128,33,85,33,83,false,43497
57172,26.3594,86.8418,28,86,32,84,false,43497
67195,24.2513,86.8579,25,86,33,85,false,43497
61459,23.0721,86.8689,20,84,30,83,false,43497
59791,24.9119,84.2362,31,87,30,83,false,43497
60832,27.6627,85.7908,32,84,43,82,false,43497
